iter	Passed	Remaining
0	63	18909
1	67	9989
2	70	6979
3	74	5483
4	77	4585
5	81	3995
6	85	3566
7	89	3258
8	93	3034
9	97	2831
10	101	2659
11	104	2518
12	108	2395
13	112	2291
14	115	2199
15	119	2113
16	122	2041
17	126	1975
18	129	1917
19	133	1867
20	136	1818
21	140	1774
22	143	1732
23	147	1695
24	150	1658
25	153	1622
26	157	1594
27	161	1567
28	165	1543
29	168	1518
30	172	1495
31	175	1472
32	179	1449
33	182	1427
34	185	1406
35	189	1392
36	193	1374
37	196	1357
38	200	1339
39	203	1320
40	206	1306
41	210	1290
42	213	1275
43	216	1260
44	220	1247
45	223	1234
46	227	1222
47	230	1210
48	233	1197
49	237	1185
50	240	1173
51	243	1161
52	247	1151
53	250	1141
54	254	1131
55	257	1122
56	261	1112
57	264	1102
58	267	1092
59	270	1082
60	274	1073
61	277	1066
62	283	1065
63	287	1059
64	290	1051
65	294	1042
66	297	1034
67	300	1026
68	304	1017
69	307	1009
70	310	1001
71	314	995
72	317	988
73	321	981
74	324	973
75	328	967
76	331	960
77	334	953
78	337	945
79	341	938
80	344	932
81	348	925
82	351	918
83	354	912
84	358	905
85	361	899
86	364	892
87	367	886
88	371	879
89	374	873
90	377	867
91	381	861
92	384	856
93	388	851
94	391	844
95	394	838
96	397	832
97	400	826
98	404	821
99	407	815
100	411	810
101	415	806
102	419	801
103	422	795
104	425	790
105	428	784
106	431	779
107	435	773
108	438	768
109	441	762
110	444	757
111	447	751
112	451	746
113	455	743
114	458	737
115	461	732
116	465	727
117	468	722
118	472	718
119	475	713
120	478	708
121	482	703
122	485	698
123	489	694
124	492	689
125	495	684
126	499	680
127	502	675
128	505	670
129	509	665
130	516	666
131	519	661
132	522	656
133	526	651
134	529	647
135	533	642
136	536	637
137	539	632
138	542	628
139	545	623
140	549	619
141	552	615
142	556	610
143	559	606
144	563	601
145	566	597
146	569	593
147	572	588
148	576	584
149	579	579
150	583	575
151	586	571
152	590	566
153	593	562
154	596	558
155	600	554
156	603	549
157	606	545
158	610	541
159	613	536
160	616	532
161	620	528
162	623	523
163	626	519
164	629	515
165	633	511
166	636	507
167	639	502
168	643	498
169	646	494
170	650	490
171	653	486
172	656	482
173	659	477
174	663	473
175	666	469
176	669	465
177	673	461
178	676	457
179	679	453
180	682	448
181	685	444
182	689	440
183	692	436
184	696	432
185	699	428
186	702	424
187	705	420
188	709	416
189	712	412
190	715	408
191	719	404
192	722	400
193	725	396
194	728	392
195	731	388
196	734	384
197	738	380
198	741	376
199	744	372
200	748	368
201	751	364
202	754	360
203	757	356
204	761	352
205	764	348
206	767	344
207	771	341
208	774	337
209	778	333
210	781	329
211	784	325
212	788	322
213	791	318
214	795	314
215	798	310
216	801	306
217	804	302
218	807	298
219	811	295
220	815	291
221	818	287
222	821	283
223	824	279
224	828	276
225	831	272
226	834	268
227	838	264
228	841	260
229	844	257
230	847	253
231	850	249
232	853	245
233	857	241
234	860	238
235	863	234
236	866	230
237	870	226
238	873	222
239	877	219
240	880	215
241	883	211
242	886	207
243	889	204
244	892	200
245	896	196
246	899	192
247	903	189
248	906	185
249	909	181
250	912	178
251	915	174
252	918	170
253	921	166
254	924	163
255	928	159
256	931	155
257	935	152
258	938	148
259	941	144
260	945	141
261	948	137
262	951	133
263	955	130
264	958	126
265	962	123
266	965	119
267	969	115
268	972	112
269	975	108
270	978	104
271	982	101
272	985	97
273	988	93
274	991	90
275	994	86
276	998	82
277	1001	79
278	1004	75
279	1008	72
280	1011	68
281	1014	64
282	1017	61
283	1020	57
284	1024	53
285	1027	50
286	1030	46
287	1034	43
288	1037	39
289	1041	35
290	1044	32
291	1047	28
292	1051	25
293	1054	21
294	1057	17
295	1060	14
296	1063	10
297	1066	7
298	1069	3
299	1073	0
